X,Y,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,populacao_,populaca_1,populaca_2,populaca_3,icon_url
-62.2746609960321,-12.4701322781853,"1100015",Alta Floresta D'Oeste,RO,7067.127,RO,"11","15","22728",./0.png
-62.9572552229938,-9.95189000660496,"1100023",Ariquemes,RO,4426.571,RO,"11","23","109523",./1.png
-60.6398072201374,-13.4748785533764,"1100031",Cabixi,RO,1314.352,RO,"11","31","5188",./2.png
-61.3247287380724,-11.3012873632908,"1100049",Cacoal,RO,3793.000,RO,"11","49","85893",./1.png
-61.260949557621,-13.2035616127217,"1100056",Cerejeiras,RO,2783.300,RO,"11","56","16204",./0.png
-60.5502444112273,-13.1591531067826,"1100064",Colorado do Oeste,RO,1451.060,RO,"11","64","15544",./0.png
-61.0916464572334,-12.9266294196241,"1100072",Corumbiara,RO,3060.321,RO,"11","72","7220",./2.png
-64.0587717432495,-12.1472501024003,"1100080",Costa Marques,RO,4987.177,RO,"11","80","18798",./0.png
-60.7848306473364,-11.3513421091072,"1100098",Espigão D'Oeste,RO,4518.038,RO,"11","98","32695",./3.png
-64.5375569025357,-11.3056363141996,"1100106",Guajará-Mirim,RO,24856.877,RO,"11","106","46556",./3.png
-62.5848655794469,-10.5924480639813,"1100114",Jaru,RO,2944.128,RO,"11","114","51620",./3.png
-61.7572526727018,-10.4622205323864,"1100122",Ji-Paraná,RO,6896.649,RO,"11","122","130009",./1.png
-62.0103796512338,-9.20409149767878,"1100130",Machadinho D'Oeste,RO,8509.270,RO,"11","130","40867",./3.png
-62.2802379253455,-11.6431190143848,"1100148",Nova Brasilândia D'Oeste,RO,1703.008,RO,"11","148","20489",./0.png
-62.1725323786919,-10.6105530023624,"1100155",Ouro Preto do Oeste,RO,1969.850,RO,"11","155","35737",./3.png
-60.8303966675938,-11.8944666198305,"1100189",Pimenta Bueno,RO,6241.016,RO,"11","189","36881",./3.png
-64.3068143332683,-9.15359282655205,"1100205",Porto Velho,RO,34090.952,RO,"11","205","539354",./4.png
-61.8779528163677,-11.1662739687854,"1100254",Presidente Médici,RO,1758.465,RO,"11","254","18571",./0.png
-62.7900744846809,-9.64521156279046,"1100262",Rio Crespo,RO,1717.640,RO,"11","262","3804",./2.png
-61.7715555290385,-11.7325577357808,"1100288",Rolim de Moura,RO,1457.811,RO,"11","288","55407",./3.png
-61.7010906021591,-12.0269677882956,"1100296",Santa Luzia D'Oeste,RO,1197.796,RO,"11","296","6216",./2.png
-60.2484204805225,-12.0956218905382,"1100304",Vilhena,RO,11699.150,RO,"11","304","102211",./1.png
-62.9832482502628,-11.6149688668331,"1100320",São Miguel do Guaporé,RO,7460.117,RO,"11","320","23077",./0.png
-64.629099523531,-10.3821674577944,"1100338",Nova Mamoré,RO,10070.490,RO,"11","338","31392",./3.png
-62.5449922370375,-11.3114209655767,"1100346",Alvorada D'Oeste,RO,3029.189,RO,"11","346","14106",./0.png
-61.8808074243593,-12.5937360821309,"1100379",Alto Alegre dos Parecis,RO,3958.273,RO,"11","379","13255",./0.png
-63.3943222506635,-9.64931030381089,"1100403",Alto Paraíso,RO,2651.822,RO,"11","403","21847",./0.png
-63.9411627315935,-10.0521152951454,"1100452",Buritis,RO,3265.809,RO,"11","452","40356",./3.png
-62.0832019661713,-11.6810939110983,"1100502",Novo Horizonte do Oeste,RO,843.446,RO,"11","502","8329",./2.png
-62.987261286304,-10.3316028105157,"1100601",Cacaulândia,RO,1961.778,RO,"11","601","6269",./2.png
-63.7997164659948,-10.4849339751876,"1100700",Campo Novo de Rondônia,RO,3442.005,RO,"11","700","14266",./0.png
-63.3256206264706,-8.88699388920358,"1100809",Candeias do Jamari,RO,6843.868,RO,"11","809","27388",./0.png
-61.8800697923837,-11.47080226158,"1100908",Castanheiras,RO,892.841,RO,"11","908","2987",./2.png
-60.8983840454719,-12.537328237136,"1100924",Chupinguaia,RO,5126.723,RO,"11","924","11472",./2.png
-62.5653358423402,-9.1710936333408,"1100940",Cujubim,RO,3863.946,RO,"11","940","26183",./0.png
-63.184012138019,-10.7480293450292,"1101005",Governador Jorge Teixeira,RO,5067.384,RO,"11","1005","7445",./2.png
-63.0449412856846,-9.17020967814718,"1101104",Itapuã do Oeste,RO,4081.580,RO,"11","1104","10641",./2.png
-61.5689691690568,-11.1602942686695,"1101203",Ministro Andreazza,RO,798.083,RO,"11","1203","9559",./2.png
-62.8479793319321,-11.0768378400065,"1101302",Mirante da Serra,RO,1191.875,RO,"11","1302","10818",./2.png
-63.3723926081638,-10.2108324960753,"1101401",Monte Negro,RO,1931.378,RO,"11","1401","16007",./0.png
-62.5323571382093,-10.8893442850586,"1101435",Nova União,RO,807.125,RO,"11","1435","6895",./2.png
-61.4153836839232,-12.2623269078722,"1101450",Parecis,RO,2548.683,RO,"11","1450","6198",./2.png
-61.5453068842675,-13.1738759612637,"1101468",Pimenteiras do Oeste,RO,6014.733,RO,"11","1468","2148",./2.png
-61.3153353804454,-11.878685960501,"1101476",Primavera de Rondônia,RO,605.692,RO,"11","1476","2776",./2.png
-61.4670704163671,-11.9049679731007,"1101484",São Felipe D'Oeste,RO,541.647,RO,"11","1484","5066",./2.png
-63.1221126492786,-12.3686877802402,"1101492",São Francisco do Guaporé,RO,10959.767,RO,"11","1492","20681",./0.png
-63.2306990655303,-11.8072176455011,"1101500",Seringueiras,RO,3773.505,RO,"11","1500","11851",./2.png
-62.2797715973984,-10.9434532789847,"1101559",Teixeirópolis,RO,459.978,RO,"11","1559","4233",./2.png
-62.3425045479453,-10.1217688667464,"1101609",Theobroma,RO,2197.413,RO,"11","1609","10395",./2.png
-62.4244103378031,-11.1039528181631,"1101708",Urupá,RO,831.857,RO,"11","1708","11272",./2.png
-61.9391006698635,-9.73243429208453,"1101757",Vale do Anari,RO,3135.106,RO,"11","1757","11377",./2.png
-62.0940465250114,-10.3842566967606,"1101807",Vale do Paraíso,RO,965.676,RO,"11","1807","6656",./2.png
