X,Y,fid,icon_url,pontos_de_contagens_CD_MUN,pontos_de_contagens_NM_MUN,pontos_de_contagens_SIGLA_UF,pontos_de_contagens_AREA_KM2,pontos_de_contagens_densidade,pontos_de_contagens_populacao_,pontos_de_contagens_populaca_1,pontos_de_contagens_populaca_2
,,"1",./0.png,,,,,,,,
,,"2",./0.png,,,,,,,,
,,"3",./0.png,,,,,,,,
,,"4",./0.png,,,,,,,,
,,"5",./0.png,,,,,,,,
,,"6",./0.png,,,,,,,,
,,"7",./0.png,,,,,,,,
,,"8",./0.png,,,,,,,,
,,"9",./0.png,,,,,,,,
,,"10",./0.png,,,,,,,,
,,"11",./0.png,,,,,,,,
,,"12",./0.png,,,,,,,,
,,"13",./0.png,,,,,,,,
,,"14",./0.png,,,,,,,,
,,"15",./0.png,,,,,,,,
,,"16",./0.png,,,,,,,,
,,"17",./0.png,,,,,,,,
,,"18",./0.png,,,,,,,,
,,"19",./0.png,,,,,,,,
,,"20",./0.png,,,,,,,,
,,"21",./0.png,,,,,,,,
,,"22",./0.png,,,,,,,,
,,"23",./0.png,,,,,,,,
,,"24",./0.png,,,,,,,,
,,"25",./0.png,,,,,,,,
,,"26",./0.png,,,,,,,,
,,"27",./0.png,,,,,,,,
,,"28",./0.png,,,,,,,,
,,"29",./0.png,,,,,,,,
,,"30",./0.png,,,,,,,,
,,"31",./0.png,,,,,,,,
,,"32",./0.png,,,,,,,,
,,"33",./0.png,,,,,,,,
,,"34",./0.png,,,,,,,,
,,"35",./0.png,,,,,,,,
,,"36",./0.png,,,,,,,,
,,"37",./0.png,,,,,,,,
,,"38",./0.png,,,,,,,,
,,"39",./0.png,,,,,,,,
,,"40",./0.png,,,,,,,,
,,"41",./0.png,,,,,,,,
,,"42",./0.png,,,,,,,,
,,"43",./0.png,,,,,,,,
,,"44",./0.png,,,,,,,,
,,"45",./0.png,,,,,,,,
,,"46",./0.png,,,,,,,,
,,"47",./0.png,,,,,,,,
,,"48",./0.png,,,,,,,,
,,"49",./0.png,,,,,,,,
,,"50",./0.png,,,,,,,,
,,"51",./0.png,,,,,,,,
,,"52",./0.png,,,,,,,,
